Name,RIC,Exchange,TRBC Sector,Type of Equity,Currency,ISIN,CUSIP/CINS,SEDOL,GICS Sector,Market_Cap_(USD),Country_of_Issuer,ESG_Score,Environmental_Pillar_Score,Social_Pillar_Score,Governance_Pillar_Score,Controversies_Score,Estimated_CO2_Equivalents_Emission,Number_of_Employees,ROE,Operating_Margin,EPS_Growth_5_Years,DPS_Growth_5_Years,PE,Dividend_Yield,Debt_to_Equity,Current_Ratio,Volatility_200_Days,%_Price_Change_Relative_52W_High,%_Price_Change_Relative_52W_Low
SAP SE,0A2W.L,London Stock Exchange,Enterprise Software,American Depository Receipt,US Dollar,US8030542042,803054204,BK5MVV8,"Information Technology, Software & Services, Software, Application Software","161,728,709,897",Germany,91.06,75.49,91.40,95.45,50.79,"283,000.00","107,415",5.68,17.57,-11.52,6.18,59.24,1.70,0.73,1.06,21.26,9.57,62.74
Glanbia PLC,GL9.L,London Stock Exchange,Dairy Products,Ordinary Share,Euro,IE0000669501,G39021103,0066950,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Packaged Foods & Meats","4,260,799,052",Ireland,43.74,35.35,45.87,49.30,100.00,"289,914.00","8,071",13.65,4.83,-2.00,7.92,16.03,2.28,1.07,1.39,26.62,11.34,40.00
Johnson & Johnson,0R34.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,US Dollar,US4781601046,478160104,B10G9V8,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","381,766,564,609",United States,88.94,92.14,97.38,73.99,2.14,"983,767.00","141,700",23.36,28.15,5.27,6.03,32.12,3.00,1.44,0.99,16.82,12.45,5.58
Woodside Energy Group Ltd,WDS.L,London Stock Exchange,Oil & Gas Exploration and Production (NEC),Fully Paid Ordinary Share,British Penny,AU0000224040,Q98327333,BPXZF78,"Energy, Oil, Gas & Consumable Fuels, Oil & Gas Exploration & Production","43,438,249,148",Australia,75.11,56.95,89.99,75.20,100.00,"9,573,200.00","3,684",17.88,50.25,29.50,24.82,6.77,13.38,0.61,1.41,29.04,18.43,12.70
Sanofi SA,0A2V.L,London Stock Exchange,Pharmaceuticals (NEC),American Depository Receipt,US Dollar,US80105N1054,80105N105,BK5MV18,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","137,680,091,519",France,90.53,93.10,91.05,87.87,46.48,"536,804.00","95,442",11.19,22.20,15.75,1.19,14.56,3.49,0.69,1.42,19.14,5.74,40.29
ASML Holding NV,0M42.L,London Stock Exchange,Semiconductor Equipment & Testing (NEC),American Depository Receipt,US Dollar,USN070592100,N07059210,BYZK808,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Equipment","244,542,693,667",Netherlands,76.55,63.06,81.78,84.08,47.22,"210,300.00","29,861",56.67,34.58,22.35,31.45,29.30,1.04,2.44,1.27,30.53,22.05,65.37
Chevron Corp,0R2Q.L,London Stock Exchange,Oil & Gas Exploration and Production (NEC),Ordinary Share,US Dollar,US1667641005,166764100,BSJC6T3,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","318,034,744,728",United States,84.83,76.11,85.44,96.54,3.79,"59,000,000.00","42,595",22.27,17.78,37.05,5.63,10.59,3.62,0.61,1.47,22.60,11.89,11.53
Verizon Communications Inc,0Q1S.L,London Stock Exchange,Integrated Telecommunications Services (NEC),Ordinary Share,US Dollar,US92343V1044,92343V104,0089560,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services","132,217,057,528",United States,72.22,71.47,75.06,67.10,4.72,"3,772,550.00","118,400",23.32,22.49,9.16,2.02,6.34,8.39,3.15,0.75,21.68,29.13,5.21
Walmart Inc,0R1W.L,London Stock Exchange,Food Retail & Distribution (NEC),Ordinary Share,US Dollar,US9311421039,931142103,B11SJG8,"Consumer Staples, Food & Staples Retailing, Hypermarkets & Super Centers","419,453,310,384",United States,82.68,86.22,79.70,84.59,1.61,"16,787,400.00","2,300,000",15.23,4.01,5.88,3.64,25.79,1.70,2.08,0.82,33.65,19.14,4.33
Oracle Corp,0R1Z.L,London Stock Exchange,Enterprise Software,Ordinary Share,US Dollar,US68389X1054,68389X105,B10S3T0,"Information Technology, Software & Services, Software, Systems Software","302,207,967,049",United States,56.53,77.60,77.69,31.99,42.27,"429,577.00","143,000",792.45,27.57,4.49,14.87,31.58,1.51,123.79,0.91,26.50,16.65,70.17
Procter & Gamble Co,0NOF.L,London Stock Exchange,Personal Products (NEC),Ordinary Share,US Dollar,US7427181091,742718109,B10SPF0,"Consumer Staples, Household & Personal Products, Household Products","337,884,280,975",United States,56.99,65.75,52.05,57.83,13.64,"2,398,000.00","106,000",31.88,22.50,8.65,5.68,24.59,2.60,1.61,0.63,14.04,8.44,17.88
Abbott Laboratories,0Q15.L,London Stock Exchange,"Medical Equipment, Supplies & Distribution (NEC)",Ordinary Share,US Dollar,US0028241000,002824100,BYMPY19,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment","167,913,238,144",United States,82.99,78.81,82.46,85.63,4.63,"1,006,000.00","113,000",18.90,19.95,30.55,12.74,33.30,2.08,1.02,1.63,19.73,15.41,4.92
Amgen Inc,0R0T.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,US Dollar,US0311621009,031162100,B0YQ1M2,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Biotechnology","145,247,066,688",United States,75.48,73.83,78.21,72.60,9.86,"283,000.00","25,200",178.97,38.49,1.96,11.02,18.25,3.15,16.79,1.41,20.08,8.71,27.74
Anheuser-Busch Inbev SA,0A22.L,London Stock Exchange,Brewers (NEC),American Depository Receipt,US Dollar,US03524A1088,03524A108,BJ4PL22,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Brewers","93,257,934,742",Belgium,78.94,85.49,73.74,80.64,36.11,"3,682,210.00","169,339",8.13,25.07,-5.99,-24.24,17.75,1.54,1.75,0.67,19.90,20.17,20.02
Globaltrans Investment PLC,GLTRq.L,London Stock Exchange,Ground Freight & Logistics (NEC),Global Depository Receipt,US Dollar,US37949E2046,37949E204,B2QTGT5,"Industrials, Transportation, Road & Rail, Railroads","1,164,454,474",Cyprus,52.49,22.70,68.03,68.03,100.00,"141,912.00","1,750",37.34,40.48,15.49,42.15,1.35,22.57,0.63,1.22,101.39,7.69,151.44
Home Depot Inc,0R1G.L,London Stock Exchange,Home Improvement Products & Services Retailers (NEC),Ordinary Share,US Dollar,US4370761029,437076102,B103SH8,"Consumer Discretionary, Retailing, Specialty Retail, Home Improvement Retail","295,379,488,443",United States,70.64,86.96,70.92,62.16,21.95,"1,649,000.00","490,600","1,095.07",15.27,17.67,16.38,11.15,4.68,47.94,1.41,121.07,48.51,-33.34
Ros Agro PLC,AGRORq.L,London Stock Exchange,Fishing & Farming (NEC),Global Depository Receipt,US Dollar,US7496552057,749655205,B5MTFN7,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Agricultural Products","1,691,442,137",Cyprus,45.57,40.27,62.65,21.87,100.00,"2,138,000.00","19,030",4.37,13.28,3.73,11.61,2.51,20.94,1.80,1.22,110.17,19.95,75.81
Telefonica SA,0A2Y.L,London Stock Exchange,Integrated Telecommunications Services (NEC),American Depository Receipt,US Dollar,US8793822086,879382208,BK5MTF8,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services","23,504,747,522",Spain,82.41,79.89,94.98,59.13,19.81,"1,134,000.00","104,150",8.02,8.48,-10.09,0.45,14.05,7.93,3.11,0.98,24.54,8.60,31.91
Marsh & McLennan Companies Inc,MHMM.L,London Stock Exchange,Multiline Insurance & Brokers (NEC),Ordinary Share,US Dollar,US5717481023,571748102,0567710,"Financials, Insurance, Insurance Brokers","95,372,585,995",United States,61.99,43.54,60.68,69.68,100.00,"166,717.00","83,000",28.99,22.72,9.96,10.47,12.35,3.51,2.16,1.16,0.00,59.33,-45.49
Corbion NV,0QHL.L,London Stock Exchange,Specialty Chemicals (NEC),Ordinary Share,Euro,NL0010583399,N2334V109,BFXW706,"Materials, Chemicals, Specialty Chemicals","1,131,928,685",Netherlands,67.54,59.63,72.57,73.01,100.00,"197,000.00","2,493",14.38,7.41,0.94,0.00,18.61,2.57,1.73,1.10,35.25,11.20,103.33
Origin Enterprises PLC,OGN.L,London Stock Exchange,Grain (Crop) Production,Ordinary Share,Euro,IE00B1WV4493,G68097107,B1WV449,"Consumer Staples, Food, Beverage & Tobacco, Food Products, Agricultural Products","400,022,222",Ireland,58.92,43.17,52.07,88.06,100.00,"20,650.00","2,643",19.84,4.75,0.01,-4.36,7.14,5.14,2.75,1.14,23.46,27.28,8.81
Wheaton Precious Metals Corp,WPM.L,London Stock Exchange,Gold Mining,Ordinary Share,British Penny,CA9628791027,962879102,BMDBTD9,"Materials, Metals & Mining, Gold","18,090,077,202",Canada,58.55,60.69,63.83,46.83,100.00,32.03,44,9.96,47.26,63.72,13.52,31.04,1.43,0.01,23.44,31.83,21.06,23.74
NetEase Inc,0K6G.L,London Stock Exchange,Internet Gaming,American Depository Receipt,US Dollar,US64110W1027,64110W102,BYZH984,"Communication Services, Media & Entertainment, Entertainment, Interactive Home Entertainment","67,126,610,717",China (Mainland),78.14,73.43,74.00,83.11,81.75,"53,118.00","32,064",19.42,20.34,11.51,15.89,19.57,1.60,0.61,2.32,35.18,4.13,98.46
Jardine Matheson Holdings Ltd,JAR.L,London Stock Exchange,Consumer Goods Conglomerates,Fully Paid Ordinary Share,US Dollar,BMG507361001,G50736100,B7TB046,"Industrials, Capital Goods, Industrial Conglomerates","13,059,118,727",Hong Kong,30.42,41.56,25.44,22.17,100.00,"5,726,200.00","400,000",1.23,7.38,-34.96,6.09,36.51,3.52,1.14,1.22,0.00,-15.93,38.58
Eni SpA,0TD2y.L,London Stock Exchange,Integrated Oil & Gas,American Depository Receipt,US Dollar,US26874R1086,26874R108,BF5KR75,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","54,229,530,261",Italy,84.23,70.96,93.70,86.82,8.33,"40,890,000.00","32,689",25.36,14.64,31.61,-5.25,5.47,5.98,1.77,1.26,24.79,2.50,46.64
Orange SA,0A2Q.L,London Stock Exchange,Integrated Telecommunications Services (NEC),American Depository Receipt,US Dollar,US6840601065,684060106,BK5MTQ9,"Communication Services, Telecommunication Services, Diversified Telecommunication Services, Integrated Telecommunication Services","31,030,679,047",France,79.86,80.44,90.59,57.88,76.42,"1,466,080.00","132,002",6.75,13.11,3.05,-0.06,17.57,6.36,2.35,0.92,18.44,10.31,32.08
Shell PLC,SHEL.L,London Stock Exchange,Integrated Oil & Gas,Ordinary Share,British Penny,GB00BP6MXD84,G80827101,BP6MXD8,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","216,789,694,184",United Kingdom,93.65,92.22,93.73,95.61,0.63,"59,000,000.00","82,000",22.21,15.43,31.87,-9.18,8.20,3.52,1.31,1.37,22.81,0.16,23.89
AstraZeneca PLC,AZN.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,British Penny,GB0009895292,G0593M107,0989529,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","209,027,667,701",United Kingdom,95.71,92.70,97.05,95.91,38.03,"440,243.00","83,100",8.88,19.34,-0.43,3.39,35.11,2.14,1.60,0.86,21.57,11.41,15.57
TotalEnergies SE,TTEF.L,London Stock Exchange,Integrated Oil & Gas,Ordinary Share,Euro,FR0000120271,F92124100,B128WJ1,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","158,296,710,312",France,84.48,90.58,87.89,69.42,7.50,"40,000,000.00","101,309",18.37,17.69,20.60,8.97,8.30,5.80,1.69,1.15,34.78,10.82,24.67
Microsoft Corp,0QYP.L,London Stock Exchange,Software (NEC),Ordinary Share,US Dollar,US5949181045,594918104,B10RVH1,"Information Technology, Software & Services, Software, Systems Software","2,450,484,670,790",United States,89.33,77.96,88.30,93.63,2.78,"6,520,660.00","221,000",35.09,42.33,20.05,10.16,34.13,0.91,1.00,1.77,26.42,9.89,54.83
Apple Inc,0R2V.L,London Stock Exchange,Phones & Smart Phones,Ordinary Share,US Dollar,US0378331005,037833100,B0YQ5W0,"Information Technology, Technology Hardware & Equipment, Technology Hardware, Storage & Peripherals","2,798,371,185,680",United States,80.18,65.37,79.61,93.55,2.94,"1,058,450.00","164,000",196.96,30.29,21.58,8.15,30.51,0.53,5.96,0.88,27.69,8.42,46.46
Mastercard Inc,0R2Z.L,London Stock Exchange,Internet Security & Transactions Services,Ordinary Share,US Dollar,US57636Q1040,57636Q104,BSJC8D1,"Financials, Financial Services, Transaction & Payment Processing Services","371,928,900,275",United States,75.82,75.00,76.51,75.46,12.73,"54,138.00","24,000",157.67,57.05,18.00,17.92,33.82,0.63,5.14,1.17,21.28,13.72,30.31
Comcast Corp,0QYF.L,London Stock Exchange,Satellite Service Operators,Ordinary Share,US Dollar,US20030N1019,20030N101,B0ZC1Q3,"Communication Services, Media & Entertainment, Media, Cable & Satellite","181,877,110,619",United States,66.32,61.22,68.00,66.87,31.37,"2,071,040.00","186,000",6.63,18.64,-10.44,11.38,36.40,2.02,2.16,0.78,65.13,-21.43,101.40
Merck & Co Inc,0QAH.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,US Dollar,US58933Y1055,58933Y105,B56DS36,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","265,170,962,160",United States,77.94,83.05,92.82,51.96,30.00,"1,069,900.00","68,000",31.57,34.26,25.61,3.48,85.42,2.80,1.37,1.47,18.30,12.93,16.43
Cisco Systems Inc,0R0K.L,London Stock Exchange,Communications & Networking (NEC),Ordinary Share,US Dollar,US17275R1023,17275R102,B0Z88L5,"Information Technology, Technology Hardware & Equipment, Communications Equipment","218,637,931,659",United States,84.04,70.95,93.67,81.94,76.67,"598,208.00","83,300",28.44,27.35,7.37,3.90,17.58,2.89,1.30,1.38,18.56,7.17,39.68
Exxon Mobil Corp,0R1M.L,London Stock Exchange,Oil & Gas Refining and Marketing (NEC),Ordinary Share,US Dollar,US30231G1022,30231G102,0327497,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","444,034,143,934",United States,75.49,85.02,66.19,78.11,0.76,"99,000,000.00","63,000",28.58,17.09,32.57,3.02,8.88,3.28,0.85,1.41,26.95,7.98,14.09
Coca-Cola Co,0QZK.L,London Stock Exchange,Non-Alcoholic Beverages (NEC),Ordinary Share,US Dollar,US1912161007,191216100,B0ZKV12,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","228,671,353,658",United States,79.97,67.66,86.04,83.56,15.63,"5,490,000.00","79,000",39.59,28.20,14.32,3.40,22.27,3.42,2.78,1.15,13.01,19.43,4.49
PepsiCo Inc,0QOSP.L,London Stock Exchange,Carbonated Soft Drinks,Ordinary Share,US Dollar,US7134481081,713448108,BKJ91Q0,"Consumer Staples, Food, Beverage & Tobacco, Beverages, Soft Drinks","222,125,047,390",United States,88.84,82.84,89.74,94.40,9.38,"5,407,830.00","315,000",51.96,14.45,4.86,7.39,28.50,3.07,4.37,0.80,14.65,16.38,5.60
TotalEnergies SE,0A30.L,London Stock Exchange,Integrated Oil & Gas,American Depository Receipt,US Dollar,US89151E1091,89151E109,BK5MTK3,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","158,296,710,312",France,84.48,90.58,87.89,69.42,7.50,"40,000,000.00","101,309",18.37,17.69,18.65,4.85,8.55,4.68,1.69,1.15,24.39,2.71,39.21
Visa Inc,0QZ0.L,London Stock Exchange,Internet Security & Transactions Services,Ordinary Share,US Dollar,US92826C8394,92826C839,BSJC9L6,"Financials, Financial Services, Transaction & Payment Processing Services","477,170,121,927",United States,59.80,46.80,73.94,51.52,28.57,"67,300.00","26,500",44.97,67.35,20.11,17.95,27.92,0.82,1.50,1.45,18.32,12.01,25.84
Pfizer Inc,0Q1N.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,US Dollar,US7170811035,717081103,0684705,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","187,445,857,724",United States,81.01,84.96,89.39,65.60,12.68,"1,140,200.00","79,000",32.80,37.50,22.73,3.82,8.87,4.92,1.06,1.22,20.03,39.34,4.72
SAP SE,0A2W.L,London Stock Exchange,Enterprise Software,American Depository Receipt,US Dollar,US8030542042,803054204,BK5MVV8,"Information Technology, Software & Services, Software, Application Software","161,728,709,897",Germany,91.06,75.49,91.40,95.45,50.79,"283,000.00","107,415",5.68,17.57,-11.52,6.18,59.24,1.70,0.73,1.06,21.26,9.57,62.74
Johnson & Johnson,0R34.L,London Stock Exchange,Pharmaceuticals (NEC),Ordinary Share,US Dollar,US4781601046,478160104,B10G9V8,"Health Care, Pharmaceuticals, Biotechnology & Life Sciences, Pharmaceuticals","381,766,564,609",United States,88.94,92.14,97.38,73.99,2.14,"983,767.00","141,700",23.36,28.15,5.27,6.03,32.12,3.00,1.44,0.99,16.82,12.45,5.58
ASML Holding NV,0M42.L,London Stock Exchange,Semiconductor Equipment & Testing (NEC),American Depository Receipt,US Dollar,USN070592100,N07059210,BYZK808,"Information Technology, Semiconductors & Semiconductor Equipment, Semiconductor Equipment","244,542,693,667",Netherlands,76.55,63.06,81.78,84.08,47.22,"210,300.00","29,861",56.67,34.58,22.35,31.45,29.30,1.04,2.44,1.27,30.53,22.05,65.37
Chevron Corp,0R2Q.L,London Stock Exchange,Oil & Gas Exploration and Production (NEC),Ordinary Share,US Dollar,US1667641005,166764100,BSJC6T3,"Energy, Oil, Gas & Consumable Fuels, Integrated Oil & Gas","318,034,744,728",United States,84.83,76.11,85.44,96.54,3.79,"59,000,000.00","42,595",22.27,17.78,37.05,5.63,10.59,3.62,0.61,1.47,22.60,11.89,11.53
Walmart Inc,0R1W.L,London Stock Exchange,Food Retail & Distribution (NEC),Ordinary Share,US Dollar,US9311421039,931142103,B11SJG8,"Consumer Staples, Food & Staples Retailing, Hypermarkets & Super Centers","419,453,310,384",United States,82.68,86.22,79.70,84.59,1.61,"16,787,400.00","2,300,000",15.23,4.01,5.88,3.64,25.79,1.70,2.08,0.82,33.65,19.14,4.33
Oracle Corp,0R1Z.L,London Stock Exchange,Enterprise Software,Ordinary Share,US Dollar,US68389X1054,68389X105,B10S3T0,"Information Technology, Software & Services, Software, Systems Software","302,207,967,049",United States,56.53,77.60,77.69,31.99,42.27,"429,577.00","143,000",792.45,27.57,4.49,14.87,31.58,1.51,123.79,0.91,26.50,16.65,70.17
Procter & Gamble Co,0NOF.L,London Stock Exchange,Personal Products (NEC),Ordinary Share,US Dollar,US7427181091,742718109,B10SPF0,"Consumer Staples, Household & Personal Products, Household Products","337,884,280,975",United States,56.99,65.75,52.05,57.83,13.64,"2,398,000.00","106,000",31.88,22.50,8.65,5.68,24.59,2.60,1.61,0.63,14.04,8.44,17.88
Abbott Laboratories,0Q15.L,London Stock Exchange,"Medical Equipment, Supplies & Distribution (NEC)",Ordinary Share,US Dollar,US0028241000,002824100,BYMPY19,"Health Care, Health Care Equipment & Services, Health Care Equipment & Supplies, Health Care Equipment","167,913,238,144",United States,82.99,78.81,82.46,85.63,4.63,"1,006,000.00","113,000",18.90,19.95,30.55,12.74,33.30,2.08,1.02,1.63,19.73,15.41,4.92
Home Depot Inc,0R1G.L,London Stock Exchange,Home Improvement Products & Services Retailers (NEC),Ordinary Share,US Dollar,US4370761029,437076102,B103SH8,"Consumer Discretionary, Retailing, Specialty Retail, Home Improvement Retail","295,379,488,443",United States,70.64,86.96,70.92,62.16,21.95,"1,649,000.00","490,600","1,095.07",15.27,17.67,16.38,11.15,4.68,47.94,1.41,121.07,48.51,-33.34
